id,name,region,size_tier,current_placeholder_lat,current_placeholder_lng,real_address,real_lat,real_lng,source_url
north-kolkata-1,31 Pally Sadharan Durgotsab Samity,North Kolkata,Small,22.6054,88.38,,,,
north-kolkata-4,Aswiningar Sarbojanin Durgotsav,North Kolkata,Small,22.5978,88.3517,,,,
north-kolkata-5,Baghbazar Palli Puja O Pradarshani,North Kolkata,Big,22.6122,88.3837,,,,
north-kolkata-6,Bandhudal Durgotsob,North Kolkata,Medium,22.5982,88.3768,,,,
north-kolkata-12,Biswanath Apartment Sharodutsab,North Kolkata,Medium,22.5955,88.3577,,,,
north-kolkata-14,Calcutta Youth Forum,North Kolkata,Medium,22.613,88.3741,,,,
north-kolkata-15,Campbagan Sadharan Durgotsav,North Kolkata,Medium,22.5976,88.3871,,,,
north-kolkata-16,Chaltabagan Lohapatty Durga Puja,North Kolkata,Small,22.5806,88.3822,,,,
north-kolkata-17,Charer Palli Sarbojanin Durgotsab,North Kolkata,Medium,22.5966,88.355,,,,
north-kolkata-18,Chorebagan Sarbojanin Durgotsab Samity,North Kolkata,Medium,22.5911,88.3869,,,,
north-kolkata-20,Dakshin Rabindrapally Sarbojanin Durga Puja,North Kolkata,Medium,22.5759,88.383,,,,
north-kolkata-21,Darjeepara Sarbojanin Durgotsab Samity,North Kolkata,Medium,22.5894,88.3565,,,,
north-kolkata-22,Deshbandhunagar Sarbojanin Durgotsab,North Kolkata,Small,22.585,88.3542,,,,
north-kolkata-25,Durbar Mahila Samanya Committee,North Kolkata,Small,22.6159,88.3784,,,,
north-kolkata-27,Goabagan Sarodatsav Sammilani Durga Puja,North Kolkata,Medium,22.5889,88.3623,,,,
north-kolkata-29,Grey Street Sarbojanin Durga Puja,North Kolkata,Medium,22.5819,88.3687,,,,
north-kolkata-31,Hari Ghosh Street Sarbojanin,North Kolkata,Small,22.5948,88.3728,,,,
north-kolkata-32,Hari Ghosh Street Swamiji Sangha Sarbojanin Durga Puja,North Kolkata,Medium,22.6145,88.3793,,,,
north-kolkata-34,Hatibagan Nabinpally Sarbojanin Durgotsav,North Kolkata,Big,22.5844,88.3769,,,,
north-kolkata-36,Jokermath Sarbojonin Durga Puja,North Kolkata,Medium,22.6102,88.387,,,,
north-kolkata-40,Kumartuli Park Sarbojanin Durgotsab Committee,North Kolkata,Big,22.5904,88.3798,,,,
north-kolkata-41,Kumartuli Sarbojanin Durgotsab,North Kolkata,Medium,22.5781,88.3791,,,,
north-kolkata-43,Mahalla Sarbojanin Durgautsab Samity,North Kolkata,Small,22.6182,88.3756,,,,
north-kolkata-46,Mondal Para Sporting Club Durga Puja,North Kolkata,Small,22.5981,88.3859,,,,
north-kolkata-47,Nainan Para & Jogendra Basak Road Sarbojanin Shree Shree Durgapuja,North Kolkata,Medium,22.6172,88.39,,,,
north-kolkata-49,Nimta Boy's Athletic Club Sarbojanin Durgotsav,North Kolkata,Small,22.5933,88.3765,,,,
north-kolkata-58,Sammilita Lalabagan Sarbojanin Durga Puja,North Kolkata,Small,22.586,88.3734,,,,
north-kolkata-59,Sarkar Bagan Sammilita Sangha Durga Puja,North Kolkata,Medium,22.5835,88.3633,,,,
north-kolkata-60,Sater Palli Sarbojanin Durgotsav,North Kolkata,Medium,22.606,88.3852,,,,
north-kolkata-62,Signum Aristo Residential Puja,North Kolkata,Medium,22.6053,88.3652,,,,
north-kolkata-68,Tala Dakshin Pally Durgotsav Committee,North Kolkata,Medium,22.6031,88.3646,,,,
north-kolkata-70,Telengabagan Sarbojanin Durgotsab,North Kolkata,Small,22.5782,88.3702,,,,
